-----------epoch0-----------
loss:0.07827436 acc:0.6
loss:0.16246626 acc:0.3333333333333333
loss:0.104115725 acc:0.48
loss:0.08250631 acc:0.5714285714285714
--------------------val_loss:0.08111094 val_acc:0.6
loss:0.08056733 acc:0.625
loss:0.10701734 acc:0.5454545454545454
loss:0.09754456 acc:0.44
loss:0.09649916 acc:0.5217391304347826
loss:0.08438687 acc:0.5454545454545454
loss:0.07953688 acc:0.5909090909090909
loss:0.092664644 acc:0.5
loss:0.10929366 acc:0.5833333333333334
loss:0.10354666 acc:0.5769230769230769
loss:0.14552888 acc:0.39285714285714285
--------------------val_loss:0.08146611 val_acc:0.6179775280898876
loss:0.0624808 acc:0.65
loss:0.08679541 acc:0.5909090909090909
loss:0.1137022 acc:0.42105263157894735
loss:0.09803951 acc:0.45454545454545453
loss:0.10724436 acc:0.4782608695652174
loss:0.1323168 acc:0.5357142857142857
loss:0.06458129 acc:0.7619047619047619
loss:0.13804552 acc:0.4482758620689655
loss:0.115755245 acc:0.4
loss:0.09342606 acc:0.6363636363636364
--------------------val_loss:0.0818722 val_acc:0.6067415730337079
loss:0.07498737 acc:0.631578947368421
loss:0.14465895 acc:0.2962962962962963
loss:0.0782872 acc:0.5
loss:0.058496416 acc:0.6842105263157895
loss:0.08205877 acc:0.6
loss:0.06923257 acc:0.6666666666666666
loss:0.15118483 acc:0.44
loss:0.08816052 acc:0.6818181818181818
loss:0.15318434 acc:0.3939393939393939
loss:0.085621975 acc:0.6
--------------------val_loss:0.08250505 val_acc:0.6067415730337079
loss:0.07242499 acc:0.6363636363636364
loss:0.08451091 acc:0.6190476190476191
loss:0.1124725 acc:0.46153846153846156
loss:0.09902707 acc:0.5454545454545454
loss:0.13941441 acc:0.46153846153846156
loss:0.11917814 acc:0.5
loss:0.12795758 acc:0.42857142857142855
loss:0.083313055 acc:0.6
loss:0.07840634 acc:0.5238095238095238
loss:0.123957254 acc:0.4583333333333333
--------------------val_loss:0.08359427 val_acc:0.5795454545454546
loss:0.06429942 acc:0.55
loss:0.102202356 acc:0.5652173913043478
loss:0.09190595 acc:0.5217391304347826
loss:0.077716336 acc:0.6521739130434783
loss:0.10505007 acc:0.5185185185185185
loss:0.0687829 acc:0.6842105263157895
loss:0.060947366 acc:0.7619047619047619
loss:0.10676857 acc:0.43478260869565216
loss:0.11735997 acc:0.48148148148148145
loss:0.1303873 acc:0.4482758620689655
--------------------val_loss:0.07892862 val_acc:0.6067415730337079
loss:0.08105649 acc:0.5909090909090909
loss:0.09386436 acc:0.5652173913043478
loss:0.092005834 acc:0.5217391304347826
loss:0.10938332 acc:0.45454545454545453
loss:0.09195269 acc:0.5217391304347826
loss:0.13885176 acc:0.4230769230769231
loss:0.1550043 acc:0.37037037037037035
loss:0.09647694 acc:0.6
loss:0.12548302 acc:0.46153846153846156
loss:0.11985551 acc:0.46153846153846156
--------------------val_loss:0.07877095 val_acc:0.6363636363636364
loss:0.09266978 acc:0.5454545454545454
loss:0.12974893 acc:0.3333333333333333
loss:0.09109892 acc:0.5833333333333334
loss:0.12467308 acc:0.42857142857142855
loss:0.116980895 acc:0.43478260869565216
loss:0.07000357 acc:0.7272727272727273
loss:0.081170104 acc:0.5909090909090909
loss:0.10265033 acc:0.5
loss:0.0966797 acc:0.6521739130434783
loss:0.06845038 acc:0.5714285714285714
--------------------val_loss:0.081226125 val_acc:0.6153846153846154
loss:0.10975827 acc:0.5384615384615384
loss:0.046320982 acc:0.7368421052631579
loss:0.08039771 acc:0.7142857142857143
loss:0.0926656 acc:0.5714285714285714
loss:0.10825726 acc:0.4074074074074074
loss:0.09066289 acc:0.7142857142857143
loss:0.093605556 acc:0.5555555555555556
loss:0.13797373 acc:0.5517241379310345
loss:0.10771284 acc:0.4230769230769231
loss:0.101760864 acc:0.5416666666666666
--------------------val_loss:0.085157976 val_acc:0.5934065934065934
loss:0.070754826 acc:0.6818181818181818
loss:0.15550283 acc:0.4444444444444444
loss:0.09718001 acc:0.625
loss:0.110223755 acc:0.5454545454545454
loss:0.09323309 acc:0.4782608695652174
loss:0.08469303 acc:0.5833333333333334
loss:0.07265757 acc:0.5909090909090909
loss:0.093282625 acc:0.5714285714285714
loss:0.11874314 acc:0.43478260869565216
loss:0.09850396 acc:0.5909090909090909
--------------------val_loss:0.080100544 val_acc:0.6136363636363636
loss:0.06994713 acc:0.5714285714285714
loss:0.091519855 acc:0.6
loss:0.10405264 acc:0.625
loss:0.063114405 acc:0.7727272727272727
loss:0.07264303 acc:0.65
loss:0.096737474 acc:0.5384615384615384
loss:0.17275836 acc:0.37037037037037035
loss:0.09453894 acc:0.6153846153846154
loss:0.06083001 acc:0.6666666666666666
loss:0.077148065 acc:0.6818181818181818
--------------------val_loss:0.08161445 val_acc:0.6179775280898876
loss:0.09370967 acc:0.4090909090909091
loss:0.073070794 acc:0.631578947368421
loss:0.097166725 acc:0.5454545454545454
loss:0.07695608 acc:0.6
loss:0.08161599 acc:0.72
loss:0.08039989 acc:0.5
loss:0.10409422 acc:0.6153846153846154
loss:0.080218606 acc:0.5833333333333334
loss:0.10635276 acc:0.52
loss:0.10162087 acc:0.5833333333333334
--------------------val_loss:0.07651779 val_acc:0.5909090909090909
loss:0.09337189 acc:0.6521739130434783
loss:0.09121376 acc:0.5172413793103449
loss:0.106468424 acc:0.5555555555555556
loss:0.07901425 acc:0.5217391304347826
loss:0.07069298 acc:0.6666666666666666
loss:0.10809292 acc:0.5
loss:0.07263445 acc:0.6190476190476191
loss:0.08354886 acc:0.6666666666666666
loss:0.13506465 acc:0.4583333333333333
loss:0.08507106 acc:0.6818181818181818
